spkid	Minor Planet Center body ID	full_name	Label full_name	named after	Description named_after	instance of named after	instance of instance of	subclass of instance of	author	country	coordinate location	taxon rank	date of birth	date of death	country of citizenship	occupation	sex or gender	name	diameter	first_obs
								person								university teacher				
								individual animal												
								omnivore												
								natural person												
20002752	2752	小行星2752		Chien-Shiung Wu	Chinese-American physicist (1912–1997)	human	organisms known by a particular common name	mammal					1912-05-31T00:00:00Z	1997-02-16T00:00:00Z	Republic of China	nuclear physicist	female	Wu Chien-Shiung	15.484	1933-08-26
								person							United States	university teacher				
								individual animal							Taiwan	physicist				
								omnivore								scientist				
								natural person												
20002753	2753	(2753) Duncan		John Charles Duncan	American astronomer (1882-1967)	human	organisms known by a particular common name	mammal					1882-02-08T00:00:00Z	1967-09-10T00:00:00Z	United States	astronomer	male	Duncan	19.173	1954-08-27
								person								writer				
								individual animal												
								omnivore												
								natural person												
20002755	2755	2755 Aviceno		Avicenna	Persian polymath, physician and philosopher (c. 980–1037)	human	organisms known by a particular common name	mammal					0980-01-01T00:00:00Z	1037-06-18T00:00:00Z		philosopher	male	Avicenna	11.841	1971-05-14
								person								poet				
								individual animal								astronomer				
								omnivore								physician				
								natural person								music theorist				
																physicist				
																mathematician				
																chemist				
																ethicist				
																Islamic jurist				
																writer				
																polymath				
20002756	2756	(2756) Dzhangar		Epic of Jangar	traditional oral epic poem of the Mongols	epic poem	literary genre	epic literature										Dzhangar	5.322	1956-03-09
								verse poetry												
								narrative poetry												
20002757	2757	2757 Krisero																Crisser	19.534	1949-12-14
20002758	2758	2758 Kordelio		Cordelia	character in the play King Lear	theatrical character	type of fictional character	character									female	Cordelia	10.209	1978-09-01
						fictional human	class of fictional entities	fictional primate												
								fictional person												
								fictional humanoid												
								imaginary human												
20002759	2759	2759 Idomeneus	2759 Idomeneus	Idomeneus	Greek mythical character, King of Crete	mythological Greek character		mythical character									male	Idomeneus	53.676	1955-04-20
20002760	2760	2760 Kaĉo		Kacha	settlement in Sevastopol, Crimea	posyolok	administrative territorial entity type	rural settlement		Ukraine	44.775277777778,33.543888888889							Kacha	57.90	1960-02-27
								administrative territorial entity												
						urban-type settlement in Ukraine	Wikimedia list article	populated place in Ukraine		Russia										
								urban-type settlement												
20002761	2761	(2761) Eddington		Arthur Eddington	British astrophysicist (1882-1944)	human	organisms known by a particular common name	mammal					1882-12-28T00:00:00Z	1944-11-22T00:00:00Z	United Kingdom	astronomer	male	Eddington	15.894	1974-11-12
								person								astrophysicist				
								individual animal								philosopher				
								omnivore								physicist				
								natural person								mathematician				
20002762	2762	(2762) Fowler																Fowler	4.467	1930-12-24
20002763	2763	(2763) Джинс		James Hopwood Jeans	British mathematician and astronomer (1877 – 1946)	human	organisms known by a particular common name	mammal					1877-09-11T00:00:00Z	1946-09-16T00:00:00Z	United Kingdom	mathematician	male	Jeans	7.514	1930-10-15
								person								physicist				
								individual animal								astronomer				
								omnivore								writer				
								natural person								university teacher				
20002764	2764	(2764) Moeller																Moeller	5.285	1976-10-24
20002765	2765	2765 Dinanto		Dinant	city in Wallonia, Belgium	municipality of Belgium		subdivisions of Belgium		Belgium	50.256388888889,4.9136111111111							Dinant	24.284	1977-08-10
								commune												
								LAU 2												
								fourth-level administrative division												
								municipality												
								geographic location												
						Belgian municipality with the title of city		municipality of Belgium												
								city												
						Hanseatic city	type of organization	city												
20002766	2766	(2766) Leeuwenhoek		Antoni van Leeuwenhoek	Dutch scientist known as "the Father of Microbiology", and one of the first microscopists	human	organisms known by a particular common name	mammal					1632-10-24T00:00:00Z	1723-08-26T00:00:00Z	Dutch Republic	biologist	male	Leeuwenhoek	7.145	1941-01-02
								person								physicist				
								individual animal								instrument maker				
								omnivore								merchant				
								natural person								microbiologist				
																accountant				
																treasurer				
																surveyor				
																wine measurer				
20002767	2767	(2767) Takenouchi																Takenouchi	13.601	1956-11-08
20002768	2768	2768 Gorky	2768 Gorky	Maxim Gorky	Russian writer (1868–1936)	human	organisms known by a particular common name	mammal					1868-03-16T00:00:00Z	1936-06-18T00:00:00Z	Russian Empire	writer	male	Gorky	8.887	1934-04-06
								person							Soviet Union	playwright				
								individual animal								novelist				
								omnivore								poet				
								natural person								opinion journalist				
																dramaturge				
																autobiographer				
																journalist				
																diarist				
																politician				
																publisher				
20002769	2769	(2769) Менделеев		Dmitri Mendeleev	Russian chemist (1834–1907)	human	organisms known by a particular common name	mammal					1834-01-27T00:00:00Z	1907-01-20T00:00:00Z	Russian Empire	chemist	male	Mendeleev	13.922	1953-03-10
								person								physicist				
								individual animal								university teacher				
								omnivore								economist				
								natural person												
20002770	2770	(2770) Tsvet		Mikhail Tsvet	Russian-Italian botanist (1872-1919)	human	organisms known by a particular common name	mammal					1872-05-14T00:00:00Z	1919-06-26T00:00:00Z	Russian Empire	botanist	male	Tsvet	7.245	1953-02-15
								person								biologist				
								individual animal								chemist				
								omnivore								physiologist				
								natural person								biochemist				
20002771	2771	(2771) Polzunov		Ivan Polzunov	Russian inventor	human	organisms known by a particular common name	mammal					1728-03-14T00:00:00Z	1766-05-27T00:00:00Z	Russian Empire	patent inventor	male	Polzunov	11.332	1943-10-05
								person					1729-01-01T00:00:00Z	1766-05-16T00:00:00Z						
								individual animal												
								omnivore												
								natural person												
20002772	2772	(2772) Dugan		Raymond Smith Dugan	American astronomer (1878–1940)	human	organisms known by a particular common name	mammal					1878-05-30T00:00:00Z	1940-08-31T00:00:00Z	United States	astronomer	male	Dugan	9.595	1906-01-22
								person								university teacher				
								individual animal												
								omnivore												
								natural person												
20002773	2773	(2773) Brooks		William Robert Brooks	American astronomer (1844–1921)	human	organisms known by a particular common name	mammal					1844-06-11T00:00:00Z	1921-05-03T00:00:00Z	United States	astronomer	male	Brooks	13.434	1929-10-29
								person												
								individual animal												
								omnivore												
								natural person												
20002774	2774	2774 Tenojokio		Tana	river in Norway and Finland	river	ecosystem type	stream		Finland	70.5,28.3959							Tenojoki	35.697	1942-09-08
							type of watercourse	open water												
						border river		river		Norway	68.72509,24.35307									
								transborder entity												
20002775	2775	(2775) Odishaw																Odishaw	4.915	1953-10-14
20002776	2776	2776 Bajkalo		Lake Baikal	freshwater rift lake in southern Siberia, Russia	lake	feature type	still waters		Russia	53.30277778,108.00472222							Baikal	19.441	1945-01-15
								open water												
								landform												
								overground still body of fresh water												
20002777	2777	(2777) Shukshin		Vasily Shukshin	Soviet actor, writer, screenwriter and film director	human	organisms known by a particular common name	mammal					1929-07-25T00:00:00Z	1974-10-02T00:00:00Z	Soviet Union	writer	male	Shukshin	6.351	1961-11-30
								person								film director				
								individual animal								screenwriter				
								omnivore								playwright				
								natural person								actor				
																director				
20002778	2778	2778 Tangŝano		Tangshan	prefecture-level city in Hebei, China	prefecture-level city	designation for an administrative territorial entity of a single country	prefecture-level division		People's Republic of China	39.629444444444445,118.17388888888888							Tangshan	12.545	1948-11-28
								city												
								municipality												
						large city	administrative territorial entity type	administrative territorial entity of the People's Republic of China												
						big city	classification of human settlements	city												
20002779	2779	2779 Marjo																Mary	6.261	1968-03-31
20002780	2780	(2780) Monnig		Oscar Monnig	American businessman, amateur astronomer and meteoricist (1902–1999)	human	organisms known by a particular common name	mammal					1902-09-04T00:00:00Z	1999-05-04T00:00:00Z	United States	astronomer	male	Monnig	4.842	1950-12-11
								person												
								individual animal												
								omnivore												
								natural person												
20002781	2781	(2781) Kleczek		Josip Kleczek	Czech astronomer and university educator	human	organisms known by a particular common name	mammal					1923-02-22T00:00:00Z	2014-01-05T00:00:00Z	Czechoslovakia	astronomer	male	Kleczek	20.727	1951-02-04
								person					1923-03-22T00:00:00Z			pedagogue				
								individual animal								teacher				
								omnivore								writer				
								natural person												
20002782	2782	2782 Leonido		Leonidas I	King of Sparta from c. 489 BC to 480 BC	human	organisms known by a particular common name	mammal						0480-08-11T00:00:00Z	Sparta	ruler	male	Leonidas	10.575	1960-09-24
								person												
								individual animal												
								omnivore												
								natural person												
20002783	2783	(2783) Chernyshevskij		Nikolay Chernyshevsky	Russian writer and nihilist philosopher (1828–1889)	human	organisms known by a particular common name	mammal					1828-07-12T00:00:00Z	1889-10-17T00:00:00Z	Russian Empire	philosopher	male	Chernyshevskij	6.196	1970-09-09
								person								journalist				
								individual animal								novelist				
								omnivore								writer				
								natural person								literary critic				
																economist				
																opinion journalist				
20002785	2785	(2785) Sedov		Georgy Sedov	Russian Arctic explorer (1877–1914)	human	organisms known by a particular common name	mammal					1877-04-23T00:00:00Z	1914-02-20T00:00:00Z	Russian Empire	explorer	male	Sedov	9.438	1932-02-14
								person								hydrographer				
								individual animal								polar explorer				
								omnivore												
								natural person												
20002786	2786	2786 Grinevio		Alexander Grin	Russian writer (1880–1932)	human	organisms known by a particular common name	mammal					1880-08-11T00:00:00Z	1932-07-08T00:00:00Z	Russian Empire	writer	male	Grinevia	10.482	1955-04-16
								person							Russian Socialist Federative Soviet Republic	poet				
								individual animal							Soviet Union	novelist				
								omnivore								short story writer				
								natural person								prose writer				
20002787	2787	2787 Tovaris		Gorch Fock I	1933 Gorch Fock-class training ship	barque	ship type	sailing ship		Germany	54.316666666667,13.098333333333							Tovarishch	19.707	1957-10-20
							rigging													
						preserved watercraft	watercraft type	watercraft												
20002788	2788	2788 Andeno		Andenne	city in Wallonia, Belgium	Belgian municipality with the title of city		municipality of Belgium		Belgium	50.483333333333,5.1							Andenne	6.878	1954-07-28
								city												
						municipality of Belgium		subdivisions of Belgium												
								commune												
								LAU 2												
								fourth-level administrative division												
								municipality												
								geographic location												
20002789	2789	2789 Foŝano		Foshan	prefecture-level city in Guangdong, China	prefecture-level city	designation for an administrative territorial entity of a single country	prefecture-level division		People's Republic of China	23.029167,113.105556							Foshan	4.766	1906-10-23
								city												
								municipality												
						big city	classification of human settlements	city												
20002790	2790	小行星2790		Joseph Needham	British biochemist, historian and sinologist (1900–1995)	human	organisms known by a particular common name	mammal					1900-12-09T00:00:00Z	1995-03-24T00:00:00Z	United Kingdom	historian	male	Needham	7.914	1965-10-19
								person								biochemist				
								individual animal								writer				
								omnivore								philosopher				
								natural person												
20002791	2791	2791 Paradizo		Paradise	town in Butte County, California, United States	incorporated town		municipal corporation		United States	39.759722222222,-121.62138888889							Paradise	8.384	1977-02-13
								census place												
								administrative territorial entity												
								municipality												
								town												
						town in the United States		municipality in the United States												
								town												
20002792	2792	(2792) Ponomarev		Nikolay Ponomaryov	Soviet astronomer (1900-1942)	human	organisms known by a particular common name	mammal					1900-03-08T00:00:00Z	1942-07-18T00:00:00Z	Soviet Union	astronomer	male	Ponomarev	11.685	1970-03-04
								person												
								individual animal												
								omnivore												
								natural person												
20002793	2793	2793 Valdaj	2793 Valdaj	Valdai Hills	upland region in Russia	mountain range		landform		Russia	57,33.5							Valdaj	27.103	1949-09-23
								region												
								natural geographic entity												
						hill		landform												
								elevation												
						upland		landform												
								hill group												
								land												
20002794	2794	2794 Kulik	2794 Kulik	Leonid Kulik	Russian mineralogist (1883-1942)	human	organisms known by a particular common name	mammal					1883-08-19T00:00:00Z	1942-04-14T00:00:00Z	Russian Empire	mineralogist	male	Kulik	7.323	1940-10-07
								person							Russian Republic	university teacher				
								individual animal							Russian Socialist Federative Soviet Republic					
								omnivore							Soviet Union					
								natural person												
20002795	2795	(2795) Лепаж		Théophile Lepage	Belgian mathematician	human	organisms known by a particular common name	mammal					1901-03-24T00:00:00Z	1991-04-01T00:00:00Z	Belgium	mathematician	male	Lepage	5.882	1974-04-24
								person												
								individual animal												
								omnivore												
								natural person												
20002796	2796	(2796) Kron		Gerald Kron	American astronomer (1913–2012)	human	organisms known by a particular common name	mammal					1913-04-06T00:00:00Z	2012-04-09T00:00:00Z	United States	astronomer	male	Kron	8.561	1951-08-07
								person												
								individual animal												
								omnivore												
								natural person												
20002797	2797	2797 Teucer	2797 Teucer	Teucer	character in the Iliad	mythological Greek character		mythical character									male	Teucer	89.430	1940-12-28
20002798	2798	2798 Vergilio		Virgil	Roman poet (1st century BC)	human	organisms known by a particular common name	mammal					0170-10-15T00:00:00Z	0119-09-21T00:00:00Z	Ancient Rome	poet	male	Vergilius	4.839	1960-09-24
								person								writer				
								individual animal												
								omnivore												
								natural person												
20002799	2799	2799 Justo																Justus	3.267	1960-09-25
20002800	2800	2800 Ovidio		Ovid	Roman poet (43 BC – 17/18 AD)	human	organisms known by a particular common name	mammal					0143-03-20T00:00:00Z	0017-01-01T00:00:00Z	Ancient Rome	poet	male	Ovidius	15.342	1960-09-24
								person												
								individual animal												
								omnivore												
								natural person												
20002801	2801	(2801) Huygens		Christiaan Huygens	Dutch mathematician, physicist and astronomer (1629–1695)	human	organisms known by a particular common name	mammal					1629-04-14T00:00:00Z	1695-07-08T00:00:00Z	Dutch Republic	astronomer	male	Huygens	11.525	1935-09-28
								person								mathematician				
								individual animal								physicist				
								omnivore								musicologist				
								natural person								inventor				
																music theorist				
																theoretical physicist				
																entomologist				
																instrument maker				
20002802	2802	(2802) Weisell																Weisell	18.813	1939-01-18
20002803	2803	2803 Вилхо																Vilho	21.441	1929-11-27
20002804	2804	2804 Yrjö	2804 Yrjö	Yrjö Väisälä	Finnish astronomer and physicist	human	organisms known by a particular common name	mammal					1891-09-06T00:00:00Z	1971-07-21T00:00:00Z	Finland	astronomer	male	Yrjo	17.605	1941-04-03
								person								Esperantist				
								individual animal								university teacher				
								omnivore								physicist				
								natural person								meteorologist				
20002805	2805	2805 Kalo		Kalle Väisälä	Finnish mathematician and Esperantist (1893–1968)	human	organisms known by a particular common name	mammal					1893-08-19T00:00:00Z	1968-09-16T00:00:00Z	Finland	mathematician	male	Kalle	16.623	1952-01-30
								person								Esperantist				
								individual animal								university teacher				
								omnivore												
								natural person												
20002806	2806	2806 Graco		Graz	capital of Styria, Austria	municipality of Austria		administrative territorial entity of Austria		Austria	47.07083333333333,15.438611111111111							Graz	13.132	1951-12-01
								municipality												
								LAU 2												
						place with town rights and privileges		human settlement												
						statutory city of Austria		administrative territorial entity of Austria												
								city												
								place with town rights and privileges												
								municipality of Austria												
								district of Austria												
						big city	classification of human settlements	city												
						district of Austria	designation for an administrative territorial entity of a single country	administrative territorial entity of Austria												
								Bezirk												
								second-level administrative division												
20002807	2807	2807 Карл Маркс		Karl Marx	German-born philosopher (1818–1883)	human	organisms known by a particular common name	mammal					1818-05-05T00:00:00Z	1883-03-14T00:00:00Z	Kingdom of Prussia	economist	male	Karl Marx	16.866	1924-01-30
								person							statelessness	journalist				
								individual animal							United Kingdom	historian				
								omnivore								philosopher				
								natural person								sociologist				
																revolutionary				
																poet				
																politician				
																writer				
20002808	2808	(2808) Belgrano		Manuel Belgrano	Argentine politician and military leader	human	organisms known by a particular common name	mammal					1770-06-03T00:00:00Z	1820-06-20T00:00:00Z	Argentina	lawyer	male	Belgrano	14.954	1934-04-04
								person								journalist				
								individual animal								economist				
								omnivore								politician				
								natural person								military personnel				
																jurist				
20002809	2809	2809 Vernadszkij		Vladimir Ivanovich Vernadsky	Russian and Soviet mineralogist and geochemist, one of the founders of geochemistry, biogeochemistry, and of radiogeology	human	organisms known by a particular common name	mammal					1863-02-28T00:00:00Z	1945-01-06T00:00:00Z	Russian Empire	philosopher	male	Vernadskij	12.014	1906-08-22
								person							Russian Republic	geologist				
								individual animal							Russian Socialist Federative Soviet Republic	biologist				
								omnivore							Soviet Union	biogeochemist				
								natural person							Ukrainian People's Republic	chemist				
																university teacher				
																ecologist				
																geochemist				
																mineralogist				
																teacher				
20002810	2810	(2810) Лев Толстой		Leo Tolstoy	Russian author (1828–1910)	human	organisms known by a particular common name	mammal					1828-08-28T00:00:00Z	1910-11-07T00:00:00Z	Russian Empire	writer	male	Lev Tolstoj	7.910	1953-10-10
								person								playwright				
								individual animal								philosopher				
								omnivore								novelist				
								natural person								pedagogue				
																essayist				
																children's writer				
																diarist				
																prose writer				
																opinion journalist				
																Esperantist				
																pacifist				
																poet				
																short story writer				
20002811	2811	2811 Střemchoví	2811 Střemchoví	Střemchoví	village in Brno-venkov District of South Moravian region	cadastral area in the Czech Republic		cadastral municipality		Czech Republic	49.3617,16.3675							Stremchovi	12.320	1950-01-19
								administrative territorial entity of the Czech Republic												
						municipal part of the Czech Republic	administrative territorial entity type	municipal part												
								administrative territorial entity of the Czech Republic												
20002812	2812	سیارک ۲۸۱۲																Scaltriti	5.986	1976-12-16
20002813	2813	2813 Zappalà	2813 Zappalà	Vincenzo Zappalà	Italian astronomer	human	organisms known by a particular common name	mammal					1945-01-01T00:00:00Z		Italy	astronomer	male	Zappala	32.040	1949-03-29
								person												
								individual animal												
								omnivore												
								natural person												
20002814	2814	سیارک ۲۸۱۴																Vieira	9.879	1954-07-29
20002815	2815	2815 Somo		Soma cube	mechanical puzzle	dissection puzzle		tiling puzzle										Soma	6.641	1955-06-22
								dissection problem												
20002816	2816	سیارک ۲۸۱۶		Armand Pien	Belgian weatherman (1920-2003)	human	organisms known by a particular common name	mammal					1920-01-02T00:00:00Z	2003-09-22T00:00:00Z	Belgium	radio personality	male	Pien	28.256	1955-10-11
								person								performing artist				
								individual animal								weather presenter				
								omnivore												
								natural person												
20002817	2817	2817 Перек		Georges Perec	French novelist, filmmaker, documentalist, and essayist (1936–1982)	human	organisms known by a particular common name	mammal					1936-03-07T00:00:00Z	1982-03-03T00:00:00Z	France	novelist	male	Perec	10.138	1953-10-07
								person												
								individual animal												
								omnivore												
								natural person												
20002818	2818	2818 Juvenalo		Juvenal	early 2nd century Roman poet	human	organisms known by a particular common name	mammal					0055-01-01T00:00:00Z	0200-01-01T00:00:00Z	Ancient Rome	poet	male	Juvenalis	3.911	1960-09-24
								person								writer				
								individual animal								historian				
								omnivore								satirist				
								natural person												
20002819	2819	(2819) Ensor		James Ensor	Belgian painter (1860–1949)	human	organisms known by a particular common name	mammal					1860-04-13T00:00:00Z	1949-11-19T00:00:00Z	Belgium	painter	male	Ensor	9.700	1933-10-20
								person								printmaker				
								individual animal								graphic artist				
								omnivore								architectural draftsperson				
								natural person								visual artist				
																artist				
																author				
20002820	2820	2820 Iisalmo		Iisalmi	town in the region of Northern Savonia in Finland	town	classification of human settlements	urban settlement		Finland	63.556666666666665,27.188333333333333							Iisalmi	6.826	1929-11-27
								city or town												
						municipality of Finland	designation for an administrative territorial entity of a single country	administrative territorial entity of Finland												
								municipality												
								second-level administrative division												
								local government												
								legal form												
20002821	2821	2821 Slávka	2821 Slávka															Slavka	3.935	1921-11-25
20002822	2822	2822 Sakaĝaveo		Sacagawea	Native American woman & companion to Lewis and Clark at age 16	human	organisms known by a particular common name	mammal					1788-05-16T00:00:00Z	1812-12-12T00:00:00Z	United States	explorer	female	Sacajawea	8.703	1955-05-16
								person					1786-01-01T00:00:00Z	1884-04-09T00:00:00Z		interpreter				
								individual animal												
								omnivore												
								natural person												
20002823	2823	(2823) van der Laan		Harry van der Laan	Dutch astrophysicist	human	organisms known by a particular common name	mammal					1936-10-03T00:00:00Z		Kingdom of the Netherlands	astrophysicist	male	van der Laan	5.363	1960-09-24
								person								university teacher				
								individual animal												
								omnivore												
								natural person												
20002825	2825	(2825) Crosby		Bing Crosby	American singer and actor (1903–1977)	human	organisms known by a particular common name	mammal					1903-05-03T00:00:00Z	1977-10-14T00:00:00Z	United States	singer	male	Crosby	5.065	1938-09-16
								person								actor				
								individual animal								television producer				
								omnivore								television personality				
								natural person								radio personality				
																businessperson				
																film actor				
																writer				
																screenwriter				
																stage actor				
																poet				
																film producer				
																television actor				
																composer				
																voice actor				
20002826	2826	2826 Ahto		Ahti	water deity of Finnish Folk poetry	water deity		nature deity									male	Ahti	39.975	1939-10-18
								water spirit												
20002827	2827	(2827) Vellamo		Vellamo	Finnish deity	water deity		nature deity									female	Vellamo	9.301	1928-02-25
								water spirit												
						Norse mythical entity		mythical entity												
								Norse mythological concept												
20002828	2828	(2828) Iku-Turso		Iku-Turso	sea monster in Finnish mythology	sea monster		monster										Iku-Turso	7.257	1942-02-12
						mythical creature		mythical character												
								organism												
20002829	2829	سیارک ۲۸۲۹		Bob Hope	American entertainer (1903–2003)	human	organisms known by a particular common name	mammal					1903-05-29T00:00:00Z	2003-07-27T00:00:00Z	United States	comedian	male	Bobhope	41.361	1948-08-09
								person							United Kingdom	singer				
								individual animal								writer				
								omnivore								screenwriter				
								natural person								television actor				
																boxer				
																radio personality				
																film actor				
																television presenter				
																stage actor				
																voice actor				
																dancer				
																actor				
20002830	2830	2830 Greniĉo		Royal Observatory	observatory in Greenwich, London, UK	astronomical observatory		observatory		United Kingdom	51.477833333333336,-0.0013888888888888887							Greenwich	7.892	1969-05-16
						tourist attraction		point of interest												
								facility												
20002831	2831	(2831) Stevin		Simon Stevin	Flemish mathematician, physicist and engineer (1548–1620)	human	organisms known by a particular common name	mammal					1548-01-01T00:00:00Z	1620-01-01T00:00:00Z	Habsburg Netherlands	mathematician	male	Stevin	5.453	1930-09-17
								person								engineer				
								individual animal								physicist				
								omnivore								astronomer				
								natural person								architect				
																accountant				
																cartographer				
																surveyor				
																military engineer				
																fortification engineer				
																map drawer				
20002832	2832	2832 Lado		Lada	goddess in Baltic and Slavic mythology	Slavic deity		deity									female	Lada	6.090	1903-11-14
								mythological Slavic character												
20002834	2834	2834 Kristio Karolo																Christy Carol	11.417	1950-06-06
20002835	2835	سیارک ۲۸۳۵		Sakamoto Ryōma	Japanese samurai and politician (1836–1867)	human	organisms known by a particular common name	mammal					1836-01-03T00:00:00Z	1867-12-10T00:00:00Z	Japan	politician	male	Ryoma	24.230	1932-12-17
								person								entrepreneur				
								individual animal								samurai				
								omnivore												
								natural person												
20002836	2836	2836 Sobolev	2836 Sobolev	Viktor Sobolev	Soviet physicist (1915-1999)	human	organisms known by a particular common name	mammal					1915-08-20T00:00:00Z	1999-01-07T00:00:00Z	Soviet Union	physicist	male	Sobolev	18.596	1930-08-21
								person							Russia	astronomer				
								individual animal								astrophysicist				
								omnivore								historian				
								natural person								university teacher				
20002837	2837	2837 Griboedov	2837 Griboedov	Alexander Griboyedov	Russian diplomat, playwriter, poet, and composer (1795–1829)	human	organisms known by a particular common name	mammal					1795-01-04T00:00:00Z	1829-01-30T00:00:00Z	Russian Empire	playwright	male	Griboedov	12.344	1971-10-13
								person								poet				
								individual animal								diplomat				
								omnivore								pianist				
								natural person								composer				
																writer				
																bretteur				
20002838	2838	2838 Такасе		Bunshirō Takase	Japanese astronomer	human	organisms known by a particular common name	mammal					1924-03-23T00:00:00Z	2015-01-09T00:00:00Z	Japan	astronomer	male	Takase	3.850	1953-10-14
								person							Empire of Japan					
								individual animal												
								omnivore												
								natural person												
20002839	2839	2839 Annette	2839 Annette															Annette	7.313	1929-09-29
20002840	2840	2840 Kalaveso		Kallavesi	lake of Northern Savonia region, Finland	lake	feature type	still waters		Finland	62.816666666667,27.783333333333							Kallavesi	7.701	1941-10-15
								open water												
								landform												
								overground still body of fresh water												
20002841	2841	(2841) Puijo		Puijo	hill in Kuopio, Finland	hill		landform		Finland	62.909444444444,27.655833333333							Puijo	6.335	1943-02-26
								elevation												
20002842	2842	2842 Unsöld	2842 Unsöld	Albrecht Unsöld	German astronomer and physicist (1905-1995)	human	organisms known by a particular common name	mammal					1905-04-20T00:00:00Z	1995-09-23T00:00:00Z	Germany	physicist	male	Unsold	13.716	1930-12-20
								person								astronomer				
								individual animal								astrophysicist				
								omnivore								university teacher				
								natural person												
20002843	2843	2843 Jetio		Yeti	ape-like creature purported to inhabit the Himalayan mountain range in Asia	cryptid		hypothetical entity		Tibet Autonomous Region								Yeti	7.587	1950-10-11
								organism												
						mythical entity		hypothetical entity		Russia										
								abstract entity												
						Rakshasa	mythical humanoid race	mythic humanoid		Nepal										
						folklore character		imaginary character												
								character												
20002844	2844	(2844) Hess																Hess	6.260	1952-10-23
20002845	2845	2845 Franklinkeno		Kenneth Franklin	American astronomer (1923–2007)	human	organisms known by a particular common name	mammal					1923-03-25T00:00:00Z	2007-06-18T00:00:00Z	United States	astronomer	male	Franklinken	5.385	1954-07-28
								person												
								individual animal												
								omnivore												
								natural person												
20002846	2846	2846 Ylppö	2846 Ylppö	Arvo Ylppö	Finnish physician, professor and archiater (1887-1992)	human	organisms known by a particular common name	mammal					1887-10-27T00:00:00Z	1992-01-28T00:00:00Z	Finland	physician	male	Ylppo	27.994	1942-02-12
								person								professor				
								individual animal								pediatrician				
								omnivore								scientist				
								natural person												
20002847	2847	2847 Parvatio		Parvati	Hindu goddess of fertility, motherly love and devotion	Devi	deity	goddess									female	Parvati	6.879	1941-09-21
							title	Hindu deity												
						Hindu deity	religious concept	deity												
20002848	2848	سیارک ۲۸۴۸		Astronomical Society of the Pacific	organization	organization	social science concept	person or organization		United States								ASP	25.793	1956-05-08
								corporate body												
								social system												
								complex system												
								group of humans												
						academic publisher		publishing company												
20002849	2849	2849 Shklovskij	2849 Shklovskij	Iosif Shklovsky	Soviet astronomer (1916–1985)	human	organisms known by a particular common name	mammal					1916-06-18T00:00:00Z	1985-03-03T00:00:00Z	Russian Empire	astronomer	male	Shklovskij	13.534	1968-05-22
								person							Soviet Union	astrophysicist				
								individual animal												
								omnivore												
								natural person												
20002850	2850	2850 Mozhaiskij	2850 Mozhaiskij	Alexander Mozhaysky	Russian aerospace engineer (1825–1890)	human	organisms known by a particular common name	mammal					1825-03-09T00:00:00Z	1890-03-20T00:00:00Z	Russian Empire	military flight engineer	male	Mozhaiskij	7.038	1938-04-05
								person								military officer				
								individual animal								aerospace engineer				
								omnivore												
								natural person												
20002851	2851	(2851) Харбин		Harbin	capital of Heilongjiang province, China	sub-province-level division		prefecture-level division		People's Republic of China	45.75,126.63333333333							Harbin	8.838	1935-10-28
								political territorial entity												
								city												
						city	classification of human settlements	city or town												
								urban settlement												
20002852	2852	سیارک ۲۸۵۲																Declercq	12.871	1949-11-19
20002853	2853	(2853) Harvill																Harvill	6.976	1963-09-14
20002854	2854	سیارک ۲۸۵۴		Guillermo Rawson	Argentine politician (1821–1890)	human	organisms known by a particular common name	mammal					1821-06-24T00:00:00Z	1890-02-02T00:00:00Z	Argentina	physician	male	Rawson	7.238	1931-02-18
								person								politician				
								individual animal												
								omnivore												
								natural person												
20002855	2855	سیارک ۲۸۵۵		Ulrich Bastian	German astronomer	human	organisms known by a particular common name	mammal					1951-01-01T00:00:00Z		Germany	astronomer	male	Bastian	9.022	1931-10-10
								person												
								individual animal												
								omnivore												
								natural person												
20002856	2856	2856 Röser	2856 Röser															Roser	23.99	1933-04-14
20002857		Neuburg an der Donau	Neuburg an der Donau															NOT	9.313	1942-02-17
20002858	2858	(2858) Carlosporter																Carlosporter	4.416	1955-12-12
20002859	2859	2859 Паганини		Niccolò Paganini	Italian violinist and composer (1782–1840)	human	organisms known by a particular common name	mammal					1782-10-27T00:00:00Z	1840-05-27T00:00:00Z	Republic of Genoa	classical composer	male	Paganini	4.287	1951-08-06
								person								violinist				
								individual animal								violin virtuos				
								omnivore								violist				
								natural person								guitarist				
																composer				
20002860	2860	2860 Pasacentenio		Pasadena	city in Los Angeles County, California, United States	big city	classification of human settlements	city		United States	34.1475,-118.1438888888889							Pasacentennium	6.767	1978-09-23
						city of California		city in the United States												
						charter city		city of California												
								charter city of the United States												
20002861	2861	2861 Ламбрехт		Hermann Lambrecht	German astronomer	human	organisms known by a particular common name	mammal							Germany	astronomer	male	Lambrecht	16.576	1958-12-06
								person												
								individual animal												
								omnivore												
								natural person												
20002862	2862	2862 Vavilov	2862 Vavilov	Nikolai Vavilov	Russian (Soviet) agronomist, botanist and geneticist (1887-1943)	human	organisms known by a particular common name	mammal					1887-11-13T00:00:00Z	1943-01-26T00:00:00Z	Russian Empire	botanist	male	Vavilov	6.031	1931-02-23
								person							Russian Socialist Federative Soviet Republic	biologist				
								individual animal							Soviet Union	explorer				
								omnivore								geneticist				
								natural person								geographer				
																academic				
																agronomist				
